Date,Open,High,Low,Close,Volume,Market Cap
2021-11-29,200.8606311208792,212.4454954646162,200.3363439107461,204.9744577818114,3008227309.333333,62404154053.41056
2021-11-30,204.4420150702396,217.631,200.32206599784053,209.4338844339564,3309286423.111111,63344187145.29483
2021-12-01,208.9585192962292,231.7400067156493,208.85549257663504,229.7919,4466716161.777778,67698691224.322685
2021-12-02,229.8954,242.88369921472727,221.5670340361188,232.27586119615032,5711497888.0,70001903807.34383
2021-12-03,233.83797647614804,238.8238881232949,208.8010427124682,212.4651,5715807473.777778,69526185548.15161
2021-12-04,211.1643,211.7144,176.383,200.51176321170504,8550450442.666667,60807737258.25632
2021-12-05,201.29618219710048,203.24264975634915,183.0407,196.5901,5604537304.0,59465303200.72268
2021-12-06,196.424,197.390032858933,177.3631,193.5299148221448,4901914606.222222,57553434918.69292
2021-12-07,194.20201868730948,203.6676,188.6834,190.10695644066817,4301289845.333333,60333604952.96184
2021-12-08,190.3770065899625,195.96784436391223,184.7744,194.5247830462036,3168763214.2222223,58566797653.6138
2021-12-09,194.6093589082782,196.47214104945888,179.3678,182.29887144455049,2692582865.7777777,57604827224.13674
2021-12-10,181.4538548829879,184.06047377720355,170.0428,170.0428,2783401389.045296,54418793449.7226
2021-12-11,167.9701,173.63329108950657,162.3042,172.0419718877665,3063470030.2222223,52266617381.36759
2021-12-12,171.73333650003613,176.63370314226208,168.09476294370316,174.06299884983156,1731164958.2222223,52690858520.76747
2021-12-13,173.38350002575308,173.38350002575308,149.7356,155.5458,2170064930.3745584,50112776586.57845
2021-12-14,155.3298,162.1963647882542,150.0032,161.19099097206902,3472294476.7108016,48048432342.07978
2021-12-15,161.26492962545822,181.2028565409983,158.2447,178.0805,3296436118.2222223,51179474992.56654
2021-12-16,178.2492,188.72319098760195,174.8393,177.3525,4762256766.222222,55845297345.96616
2021-12-17,176.8608,182.029340981352,168.75652515149935,175.9584983518386,3547047426.6666665,54546118311.07177
2021-12-18,175.50642125720893,184.0397,171.7904574876618,182.84637258674303,3005389005.971831,55042349772.88232
2021-12-19,182.88241664574863,188.355274016071,179.12680770138013,179.7937,2013713148.4195805,56628618594.46744
2021-12-20,180.16681061187472,181.02923247693013,169.26304608886164,174.05797684932992,2224474955.555556,53886300778.32678
2021-12-21,173.83738567292346,182.27758227245613,170.56042352357264,180.1013,2449339318.6666665,54901422374.94477
2021-12-22,179.9044,187.2861,177.96923104355344,178.64151949207573,2227257734.6666665,56313529402.58239
2021-12-23,178.496,193.34834290255944,176.3199733519485,190.4149288812643,2323269410.6666665,56270318950.1969
2021-12-24,190.2214566565977,197.08261793945115,186.1251092790199,190.2602,2877585568.0,58868916450.9418
2021-12-25,190.2624,194.8597,189.6534,194.31619993588492,2533943400.888889,59416213985.22386
2021-12-26,193.30222113265003,199.9197,191.2173,198.1020112169848,2190881748.888889,60606019898.61717
2021-12-27,198.02394013317976,204.338,195.596579884882,195.596579884882,2220041161.333333,61792337964.31253
2021-12-28,195.72762858920137,195.72762858920137,177.3343579335102,178.1742,3030510626.6666665,57831046266.57131
2021-12-29,177.3768,180.5379257576828,170.57710664826178,170.8940770745249,3004570812.4444447,54445369660.46659
2021-12-30,170.56565300675027,175.5509084132466,168.72056966755184,172.586,2531993569.7777777,53494867898.10092
2021-12-31,172.5548,177.3247,168.05905879563065,170.55223679802057,1723805669.7777777,53509645644.0864
2022-01-01,170.0646316552299,178.76057842853552,170.0646316552299,177.9595,1608896641.3333333,53798973668.58197
2022-01-02,178.6942,179.3228,174.7322,176.4474,1322319492.8888888,54579938622.05299
2022-01-03,176.5189,176.5189,167.10877105319037,170.3803,1269216517.7777777,53402446744.00528
2022-01-04,170.3394,173.7737,166.7674417004273,168.01870614259786,1829126638.2222223,52404188370.2047
2022-01-05,167.92584368767538,171.1638,145.824,155.144,1741075375.5555556,51365138784.59549
2022-01-06,154.4733,154.5278,146.77641950624408,150.49748478434728,3159910652.4444447,46560905158.98059
2022-01-07,150.40915829632775,150.40915829632775,134.81041834481505,136.3547,3366760194.6666665,43598562372.19115
2022-01-08,136.202,147.84040593351872,133.7727,142.64710038761092,3072788758.2222223,44183443793.09488
2022-01-09,142.11145390432338,145.20981243757757,138.24553375173517,140.86952590166752,3426625859.555556,44108261109.31135
2022-01-10,140.7023695245698,143.56491385148288,130.57718142907973,135.8408,2212884764.888889,42987942464.48291
2022-01-11,135.8829,143.09685445879,134.06685291772712,140.0026,2504107060.6271777,42975725878.22903
2022-01-12,140.2279,152.94236478559162,138.48779554753156,151.6441,2327959956.888889,45154528036.24295
2022-01-13,151.5256,157.31507691678434,145.86650694131532,146.1437,2907038328.888889,47031579676.26844
2022-01-14,145.835,150.43573677053075,142.2961,146.28760984196708,2880094543.111111,46015199573.98805
2022-01-15,146.21481737417054,149.359399745668,144.49253802401344,147.77227509680188,1848766664.0,46043226353.81228
2022-01-16,147.72970759665958,151.7695,146.28758333835563,147.89232071991978,1469219195.5555556,46648905183.14487
2022-01-17,147.90591098638842,148.1360058714557,137.5128966055221,139.90048882523666,1752488297.3333333,44732210243.08922
2022-01-18,139.917088466859,141.8557,135.1756,141.3346,1840787666.2222223,43494344318.39932
2022-01-19,141.4575,142.25496251861924,133.3394,135.3528602474625,1911475934.1045296,43094510138.50082
2022-01-20,135.43547628109516,143.6871096620659,127.18384300236345,127.18384300236345,1651862554.2222223,43263214504.21227
2022-01-21,127.80052764604493,128.3916010967526,107.6603,111.2622,3744282782.6666665,38429537791.52734
2022-01-22,112.3464,112.9962187109768,89.1914,94.16915536611378,5748163827.468532,31604234988.502262
2022-01-23,94.23212946222112,104.414385365829,93.51747768511528,99.3393,4914005257.777778,30908440765.508614
2022-01-24,99.6677,99.6677,81.29445862739279,91.8445,4713336684.444445,27896178922.44645
2022-01-25,91.6137,99.5118,87.77670402192092,95.05657135623088,5118615073.003485,29004596542.428524
2022-01-26,94.7073265436007,103.5559,90.2875283485875,92.2110816046256,3719005061.3333335,30194992476.98309
2022-01-27,92.1504317663008,94.21428766283564,86.15970382139128,89.69647409000822,4320319565.333333,28332821106.160378
2022-01-28,89.36378396792603,93.3967,87.41670551069582,91.1762,3313492781.333333,28565473223.976925
2022-01-29,91.3571,98.3688,91.065,96.2559,2667541655.111111,29949538944.171364
2022-01-30,96.20169273166844,97.26242063856004,91.77706909906566,93.4379,1835484785.7777777,29877796636.643723
2022-01-31,93.3202,100.69299558299562,89.5609,99.65355569717234,1781243945.3333333,29439886915.908283
2022-02-01,99.59381896423962,113.21019680027884,99.59381896423962,110.295,4071585968.888889,33774552638.827053
2022-02-02,110.0358,112.08032789038842,97.83728302463835,101.6326,4715100317.333333,34000159904.124832
2022-02-03,102.1187,102.7302,94.81935979866527,101.0464,5269047514.666667,30996712212.186665
2022-02-04,101.6452,112.38314770109427,100.5311,112.38314770109427,4242291038.2222223,33434571381.90142
2022-02-05,112.33067393130682,118.4500387123848,110.5341,113.6063,4326342728.888889,36081414026.68272
2022-02-06,113.9427,115.85705111839796,112.2441,115.2154029586464,2445793896.0,35952980804.31703
2022-02-07,115.35012048235738,121.4774,113.09929727587073,117.68530561473666,2660391175.555556,37441691374.43318
2022-02-08,117.53993601720744,119.84570081708,110.43884683643594,113.55426136102096,3454459864.0,36320465573.144
2022-02-09,113.36218334164892,116.346,109.9608582218374,114.1851,2926951904.888889,35964084704.93538
2022-02-10,114.0601,114.8532,106.04381682006752,106.27610664086517,2517984792.0,35354838664.98364
2022-02-11,106.14137136511908,107.94719661212156,95.6433,96.4211,2876844601.7777777,33036777638.46356
2022-02-12,96.4837,99.50834924661449,93.5561,95.6361,2578326103.111111,30567948125.65021
2022-02-13,95.843,97.1567,91.8678583993968,93.4134,1729564520.4444444,30267391479.30842
2022-02-14,92.9127,97.71883827067995,91.17191915536615,96.45598380771033,1829526793.8807015,30122046368.10957
2022-02-15,96.44124258459904,105.12333441796726,96.44124258459904,104.8396,2579095326.2222223,32445757754.898445
2022-02-16,104.92,104.9222,98.4114,102.0772,2286229159.69338,32589965956.689117
2022-02-17,101.858,102.5703,92.81882448616848,93.3053,2255059366.6666665,31338631950.50481
2022-02-18,93.5676,96.2271,89.6631,90.0544238233777,2149474394.9825783,29779345563.990303
2022-02-19,90.0160316806923,92.5416347743077,88.97773753851813,91.50629640230996,1736312814.6666667,29039073072.292377
2022-02-20,91.35835040165485,93.2168,85.99716120194202,90.81787924973165,1824342996.4444444,28643724522.82632
2022-02-21,90.65453541058912,95.9496,83.17106514738644,83.17106514738644,3275306999.080139,29072919715.224243
2022-02-22,83.1005078891356,87.1683,81.26787972713873,86.5429,3551169882.6666665,26960793760.66756
2022-02-23,86.4195,93.0273,84.84895867689954,84.84895867689954,2634973096.888889,28454602914.959274
2022-02-24,84.52587769342514,92.2653,76.83669513801863,89.03824056639185,4819389407.111111,26754612259.66335
2022-02-25,89.41292019098374,94.838,87.24748902879269,92.51287263414191,4989542736.0,28716274906.70232
2022-02-26,92.7909475342431,94.52325202382838,89.7532,90.0602,3078715981.333333,29299090607.065147
2022-02-27,90.1557,92.00304452635638,84.4939,85.57516594054661,1979593038.2222223,28237390761.322197
2022-02-28,85.61630119620648,100.51274579233996,84.50683175672957,99.3948,3154952568.888889,29276835155.054947
2022-03-01,99.7028,101.4325,95.2683,98.7167,4330380869.333333,31312192564.17613
2022-03-02,98.6509,106.06666273259968,97.3582,100.8434021629295,4033866579.5555553,32664436030.569885
2022-03-03,100.75611161641504,101.3975,94.4063,95.5292865361438,3165948792.4181185,31385728898.414417
2022-03-04,95.62905332562858,95.7218772303813,87.60698664207584,88.26304551957928,2693458846.989474,29216722712.411385
2022-03-05,88.30700259792907,90.86876133620235,86.44727408840481,89.72294837199111,2336508166.42294,28344610657.60273
2022-03-06,89.6555,89.8392,84.2452,84.68727055776866,1384062527.5555556,27931952985.648422
2022-03-07,84.56732716890949,86.36024542629386,80.1262034887546,82.08508346719111,2092166047.1111112,26617141242.997272
2022-03-08,81.89723403007476,84.7837,81.51666998978325,82.15255980908044,2458506776.888889,26615411061.334328
2022-03-09,82.3104000760564,89.54092343696463,82.11409010965542,88.1519700069252,2731266129.7777777,28070513784.55284
2022-03-10,88.12724809997468,88.47249263696274,81.29093475009894,83.03559978612967,2562888472.0,26774361237.08096
2022-03-11,82.94484320258118,84.01884034021049,80.1803749777916,80.76296928153728,2044308961.3333333,26304138111.07881
2022-03-12,80.67443320370445,82.66853723409406,80.67443320370445,81.63673413990475,1587612035.3333333,26253787450.06567
2022-03-13,81.4134629804096,82.8118,78.09488280181606,78.91477174427052,1078182421.7777777,26192244135.11627
2022-03-14,78.84523086193796,81.9841,78.133,81.047044929393,1749547248.0,25874063027.44822
2022-03-15,81.18682207420515,85.12167638011316,79.09240615135366,82.92012244955522,1689243390.6666667,26144035642.198338
2022-03-16,82.87006735070167,87.73100446421137,81.67925679895443,87.73100446421137,2256502411.111111,27007670994.41331
2022-03-17,87.79717201537679,90.67972583119608,86.7509,87.80915917048367,2509483485.333333,28428192384.91692
2022-03-18,87.86484895162582,91.80459198025672,84.68272578955698,89.70616554984645,2850402360.888889,28029758700.113148
2022-03-19,89.79708454272091,94.4389806994186,89.40810038553467,92.3859025325588,2720763160.888889,29273330959.02153
2022-03-20,92.4142311179586,92.4142311179586,88.1216892409003,88.68228512114048,1820085676.8888888,28892725506.496323
2022-03-21,88.5311152017071,91.13557769219376,87.11693859352216,88.77027251383889,1694114116.8888888,28492018845.135376
2022-03-22,88.76828652467186,93.6675,88.18192702192376,90.6124678591174,2128751696.0,29287239164.761547
2022-03-23,90.50209658761588,96.06437580922292,89.63725942513194,95.10271747092176,2120785514.1463416,29565455874.108208
2022-03-24,94.97890047252216,103.4874,94.07253642767829,102.26183971777306,3520549959.111111,31972355075.075397
2022-03-25,102.33850320096008,104.6564,97.21849899472063,98.76050728557416,3827302912.888889,32832819442.182297
2022-03-26,98.63087747522792,103.2483,97.84280118769274,101.85037721798604,2466659556.0,32743516083.91858
2022-03-27,101.83008706417452,107.29060353654803,99.14564480083165,107.10647385293372,1781452762.6666667,33181406053.018085
2022-03-28,106.96232451087036,113.431,105.319971154411,105.63181621490514,3440579599.111111,35583879436.54363
2022-03-29,105.98293364047176,115.4559,105.98293364047176,111.80216260115512,4305544045.333333,36152048639.36853
2022-03-30,111.74000478369668,123.82191831572985,107.44863201075366,120.26812664488584,4879497393.777778,37448984012.09106
2022-03-31,120.29661658775456,128.593356388549,119.83126917131068,122.49756709121088,5910328532.292683,40161847816.25475
2022-04-01,122.5331224743763,136.8913,118.74291674569582,133.82885348739686,6783690641.393728,41660423056.54975
2022-04-02,133.9639,142.0514517587241,132.0396119102894,132.0396119102894,5804349104.0,44391708100.42435
2022-04-03,131.96458586844196,140.229,131.1907944969669,136.84674453651868,4892773316.444445,44517427978.7285
2022-04-04,136.8002314166226,137.96840621206292,126.54046989837312,132.51236433866617,3772952816.0,43437922773.23243
2022-04-05,132.20254560044975,136.2091324151326,126.658028293038,126.658028293038,3926432898.229965,43015284661.53554
2022-04-06,127.00570905085496,127.3559,112.93012376028202,112.93012376028202,4354816668.097561,39657349233.36205
2022-04-07,113.05698619168872,119.8595,111.8099274147478,118.91484893230124,4636533997.333333,37819207023.47483
2022-04-08,118.71845721277498,122.0517776604832,108.6054,109.7555,3572972769.672474,38186601588.434975
2022-04-09,109.9298,113.13090673885915,108.72613514381374,113.13090673885915,2951543042.2222223,36210898016.45976
2022-04-10,112.98939659140984,112.98939659140984,112.98939659140984,112.98939659140984,1873845248.0,37021471251.67949
2022-04-11,111.0701,111.7512,98.9991,99.65766756435929,2834260283.672598,34734453378.299034
2022-04-12,100.03248714844486,108.9337,98.976102758719,103.65836866366703,3822596852.118144,33971213829.011272
2022-04-13,103.49588409415024,105.67629021125896,100.3558,104.8295,3362322636.979021,34010893337.145725
2022-04-14,104.7968,107.16828151426483,99.2616,100.64652139142292,2762096909.1282053,33965413416.9971
2022-04-15,100.7807851910176,102.8625,100.127085128959,101.3964,2267678373.333333,33705393922.181904
2022-04-16,101.4068,103.1474,100.9513,102.123,1429049665.7777777,33903596083.20743
2022-04-17,102.1203,105.2538,99.9088,100.3029,1360454577.3333333,34196829838.26033
